SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA Pflugerville College Preparatory	16-Apr-24	573	16
IDEA Pflugerville College Preparatory	17-Apr-24	573	26
IDEA Pflugerville College Preparatory	18-Apr-24	573	20
IDEA Pflugerville College Preparatory	19-Apr-24	573	53
IDEA Pharr Academy	15-Apr-24	754	23
IDEA Pharr Academy	16-Apr-24	754	16
IDEA Pharr Academy	17-Apr-24	754	22
IDEA Pharr Academy	18-Apr-24	754	20
IDEA Pharr Academy	19-Apr-24	754	31
IDEA Pharr College Preparatory	15-Apr-24	860	49
IDEA Pharr College Preparatory	16-Apr-24	860	48
IDEA Pharr College Preparatory	17-Apr-24	860	43
IDEA Pharr College Preparatory	18-Apr-24	860	61
IDEA Pharr College Preparatory	19-Apr-24	860	82
IDEA Quest Academy	15-Apr-24	673	23
IDEA Quest Academy	16-Apr-24	673	32
IDEA Quest Academy	17-Apr-24	672	34
IDEA Quest Academy	18-Apr-24	672	18
IDEA Quest Academy	19-Apr-24	672	45
IDEA Quest College Preparatory	15-Apr-24	656	27
IDEA Quest College Preparatory	16-Apr-24	656	13
IDEA Quest College Preparatory	17-Apr-24	656	60
IDEA Quest College Preparatory	18-Apr-24	656	30
IDEA Quest College Preparatory	19-Apr-24	656	35
IDEA Rio Grande City Academy	15-Apr-24	732	14
IDEA Rio Grande City Academy	16-Apr-24	732	9
IDEA Rio Grande City Academy	17-Apr-24	732	22
IDEA Rio Grande City Academy	18-Apr-24	732	26
IDEA Rio Grande City Academy	19-Apr-24	732	26
IDEA Rio Grande City College Preparatory	15-Apr-24	648	41
IDEA Rio Grande City College Preparatory	16-Apr-24	648	12
IDEA Rio Grande City College Preparatory	17-Apr-24	648	24
IDEA Rio Grande City College Preparatory	18-Apr-24	648	13
IDEA Rio Grande City College Preparatory	19-Apr-24	647	25
IDEA Rio Vista Academy	15-Apr-24	715	50
IDEA Rio Vista Academy	16-Apr-24	715	27
IDEA Rio Vista Academy	17-Apr-24	715	50
IDEA Rio Vista Academy	18-Apr-24	715	55
IDEA Rio Vista Academy	19-Apr-24	715	64
IDEA Rio Vista College Preparatory	15-Apr-24	495	42
IDEA Rio Vista College Preparatory	16-Apr-24	495	15
IDEA Rio Vista College Preparatory	17-Apr-24	495	33
IDEA Rio Vista College Preparatory	18-Apr-24	496	27
IDEA Rio Vista College Preparatory	19-Apr-24	496	55
IDEA Rise Academy	15-Apr-24	654	34
IDEA Rise Academy	16-Apr-24	653	42
IDEA Rise Academy	17-Apr-24	653	30
IDEA Rise Academy	18-Apr-24	653	31
IDEA Rise Academy	19-Apr-24	653	36
IDEA Rise College Preparatory	15-Apr-24	508	37
IDEA Rise College Preparatory	16-Apr-24	508	22
IDEA Rise College Preparatory	17-Apr-24	507	18
IDEA Rise College Preparatory	18-Apr-24	507	25
IDEA Rise College Preparatory	19-Apr-24	504	37
IDEA Riverview Academy	15-Apr-24	731	23
IDEA Riverview Academy	16-Apr-24	731	11
IDEA Riverview Academy	17-Apr-24	731	21
IDEA Riverview Academy	18-Apr-24	731	18
IDEA Riverview Academy	19-Apr-24	731	22
IDEA Riverview College Preparatory	15-Apr-24	789	36
IDEA Riverview College Preparatory	16-Apr-24	789	22
IDEA Riverview College Preparatory	17-Apr-24	789	22
IDEA Riverview College Preparatory	18-Apr-24	789	19
IDEA Riverview College Preparatory	19-Apr-24	789	77
IDEA Robindale Academy	15-Apr-24	689	28
IDEA Robindale Academy	16-Apr-24	689	26
IDEA Robindale Academy	17-Apr-24	689	20
IDEA Robindale Academy	18-Apr-24	689	25
IDEA Robindale Academy	19-Apr-24	689	43
IDEA Robindale College Preparatory	15-Apr-24	565	31
IDEA Robindale College Preparatory	16-Apr-24	565	20
IDEA Robindale College Preparatory	17-Apr-24	565	6
IDEA Robindale College Preparatory	18-Apr-24	565	38
IDEA Robindale College Preparatory	19-Apr-24	565	38
IDEA Round Rock Tech Academy	15-Apr-24	698	34
IDEA Round Rock Tech Academy	16-Apr-24	698	30
IDEA Round Rock Tech Academy	17-Apr-24	698	17
IDEA Round Rock Tech Academy	18-Apr-24	698	26
IDEA Round Rock Tech Academy	19-Apr-24	698	41
IDEA Round Rock Tech College Preparatory	15-Apr-24	427	19
IDEA Round Rock Tech College Preparatory	16-Apr-24	426	26
IDEA Round Rock Tech College Preparatory	17-Apr-24	426	14
IDEA Round Rock Tech College Preparatory	18-Apr-24	426	12
IDEA Round Rock Tech College Preparatory	19-Apr-24	426	29
IDEA Rundberg Academy	15-Apr-24	655	26
IDEA Rundberg Academy	16-Apr-24	655	17
IDEA Rundberg Academy	17-Apr-24	655	23
IDEA Rundberg Academy	18-Apr-24	655	22
IDEA Rundberg Academy	19-Apr-24	655	51
IDEA Rundberg College Preparatory	15-Apr-24	732	42
